Codigo Filial,Filial,Produto,Desc Produto,Desc Cor Produto,Grade,Estoque atual,Colecao,Categoria Produto
801505,CAMPO GRANDE SHP ELDORADO,A10000070,MEIA RUNNING FORMAS KIDS,BCO/LIRIO/CINZA,20/24,1,A10,KIDS
801505,CAMPO GRANDE SHP ELDORADO,A11370005,PORTA MP3 BASIC,PRETO,U,1,A11,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A12500001,CUECA SLIP PIMA T&F,BRANCO,P,6,A12,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A12500001,CUECA SLIP PIMA T&F,BRANCO,M,8,A12,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A12500001,CUECA SLIP PIMA T&F,PRETO,P,2,A12,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A12500001,CUECA SLIP PIMA T&F,PRETO,M,8,A12,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A12500001,CUECA SLIP PIMA T&F,MESCLA,P,4,A12,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A12500001,CUECA SLIP PIMA T&F,MESCLA,M,1,A12,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A12500002,CUECA BOXER PIMA T&F,BRANCO,P,3,A12,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A12500002,CUECA BOXER PIMA T&F,PRETO,P,2,A12,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A12500002,CUECA BOXER PIMA T&F,PRETO,M,1,A12,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A12500002,CUECA BOXER PIMA T&F,MESCLA,P,2,A12,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A12500002,CUECA BOXER PIMA T&F,MESCLA,GG,3,A12,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A13360004,FIVELA TIC TAC METAL,PRETO,U,1,A13,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A13570002,CHINELO MASC T&F,AZUL NOTURNO,37/38,3,A13,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A13570002,CHINELO MASC T&F,GRANITO,37/38,3,A13,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A15270026,TENIS ON F CLOUD,GELO/CINZA PRATA/000009.4304,"39,5",1,A15,MARCAS
801505,CAMPO GRANDE SHP ELDORADO,A15370034,PORTA SMARTPHONE PLUS,PRETO,U,6,A15,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A15570008,CHINELO FEM T&F,CEU V15,33/34,1,A15,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A16360010,PIRANHA GRANDE,PRETO,U,2,A16,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A16440061,POCHETE NEO CIRE MINI,PRETO,U,1,A16,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A16570014,CHINELO FEM T&F,DEGRADÊ MIRTILO/CHERRY V1,33/34,1,A16,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A16570014,CHINELO FEM T&F,DEGRADÊ MIRTILO/CHERRY V1,39/40,1,A16,ACESSORIOS
801505,CAMPO GRANDE SHP ELDORADO,A16620014,BOLINHAS DE FRESCOBOL,AZUL/VERMELHA V16,U,2,A16,ACESSORIOS
