Codigo Filial,Filial,Produto,Desc Produto,Desc Cor Produto,Grade,Estoque atual,Colecao,Categoria Produto
801511,SHOPS CIDADE JARDIM,A17210022,GARRAFA DE HIDRACAO,PRETO,U,4,A17,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A18270042,TENIS ESSENTIAL F T&F,CRISTAL I19,34,1,A18,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A18270042,TENIS ESSENTIAL F T&F,CRISTAL I19,35,2,A18,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A18270042,TENIS ESSENTIAL F T&F,CRISTAL I19,36,2,A18,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A18270042,TENIS ESSENTIAL F T&F,CRISTAL I19,37,2,A18,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A18270042,TENIS ESSENTIAL F T&F,CRISTAL I19,38,2,A18,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A18440067,SAIA FRANZIDA T&F,PRETO,P,3,A18,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A18440067,SAIA FRANZIDA T&F,PRETO,M,3,A18,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A19190036,BONE MESH BS,ROSE I19,UNICO,8,A19,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A19210023,GARRAFA STEEL,DEGRADE AZUL,U,10,A19,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A19210026,GARRAFA STEEL MAX,ROSE I19,UNICO,10,A19,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A19370039,PORTA SMARTPHONE SLIM,PRETO,U,6,A19,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A20000013,TOALHA BEACH,AZ. JEANS/ OFF WHITE,UNICO,1,A20,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A20190022,BONE MESH BS,PRETO,UNICO,8,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20190024,BONE DOBRAVEL BS,PRETO,UNICO,5,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20190038,BONE ABERTO,PRETO,UNICO,3,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20200020,MOCHILA REFLEX URBAN,PRETO,UNICO,6,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20210012,GARRAFA GLASS,GRANITO,UNICO,8,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20210027,GARRAFA STEEL,GRANITO,UNICO,10,A20,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A20210027,GARRAFA STEEL,ROSA CLARO V20,UNICO,10,A20,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A20210028,GARRAFA NATURE KIDS,FERVEDOURO I20,UNICO,4,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20210028,GARRAFA NATURE KIDS,ARENITO I20,UNICO,4,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20210029,GARRAFA BUBBLE GLASS,AZUL NOTURNO,UNICO,10,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20210030,GARRAFA STEEL MASSIVE,GRANITO STEEL,UNICO,10,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20220015,MALA DUFFEL MATELASSE,PRETO,UNICO,6,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20220016,MALA DOBRAVEL T&F,PRETO,UNICO,5,A20,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A20220016,MALA DOBRAVEL T&F,CHUMBO,UNICO,5,A20,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A20220016,MALA DOBRAVEL T&F,NOITE,UNICO,5,A20,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A20220016,MALA DOBRAVEL T&F,AREIA V21,UNICO,5,A20,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A20220016,MALA DOBRAVEL T&F,CITRUS V21,UNICO,5,A20,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A20230081,MEIA REDTECH,PRETO,33/36,3,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20230081,MEIA REDTECH,PRETO,37/40,3,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20230081,MEIA REDTECH,PRETO,41/44,3,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20230099,MEIA SOFT NEW T&F,BRANCO/SILVER,33/38,5,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20230102,MEIA COMFY,MESCLA ESCURO,33/36,3,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20230102,MEIA COMFY,MESCLA ESCURO,37/40,4,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20230102,MEIA COMFY,MESCLA ESCURO,41/44,3,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20230103,MEIA GYM,PRETO,37/40,4,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20230103,MEIA GYM,PRETO,41/44,4,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20260004,TAPETE YOGA ECO,CINZA,UNICO,5,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20260004,TAPETE YOGA ECO,AZUL,UNICO,5,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20270042,TENIS ESSENTIAL F T&F,OFF WHITE V17,35,2,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20270042,TENIS ESSENTIAL F T&F,OFF WHITE V17,36,2,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20270042,TENIS ESSENTIAL F T&F,OFF WHITE V17,37,2,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20270042,TENIS ESSENTIAL F T&F,OFF WHITE V17,38,2,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20270042,TENIS ESSENTIAL F T&F,OFF WHITE V17,39,2,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20270042,TENIS ESSENTIAL F T&F,BURITI I20,34,1,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20270042,TENIS ESSENTIAL F T&F,BURITI I20,35,2,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20270042,TENIS ESSENTIAL F T&F,BURITI I20,36,2,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20270042,TENIS ESSENTIAL F T&F,BURITI I20,37,2,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20270042,TENIS ESSENTIAL F T&F,BURITI I20,38,2,A20,CONVENIENCIA
801511,SHOPS CIDADE JARDIM,A20270113,TENIS ON CLOUD F,BLACK/WHITE,35,1,A20,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A20270113,TENIS ON CLOUD F,BLACK/WHITE,36,1,A20,ACESSORIOS
801511,SHOPS CIDADE JARDIM,A20270113,TENIS ON CLOUD F,BLACK/WHITE,37,1,A20,ACESSORIOS
