Codigo Filial,Filial,Produto,Desc Produto,Desc Cor Produto,Grade,Estoque atual,Colecao,Categoria Produto
801509,SHOPPING ESTACAO CUIABA,A12500001,CUECA SLIP PIMA T&F,PRETO,P,2,A12,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A12500001,CUECA SLIP PIMA T&F,PRETO,G,1,A12,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A12500002,CUECA BOXER PIMA T&F,BRANCO,G,2,A12,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A13430002,MEIA LUVA NEOP BIC T&F,PRETO/ PRETO,G,1,A13,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A15370034,PORTA SMARTPHONE PLUS,PRETO,U,4,A15,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A15620007,PROTETOR AURICULAR,UNICA,UN,2,A15,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A16230015,POLAINA SOFTMAX,PRETO,U,1,A16,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A16230015,POLAINA SOFTMAX,MESCLA CINZA,U,1,A16,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A16230081,MEIA REDTECH,PRETO,33/36,2,A16,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A16230081,MEIA REDTECH,OFF WHITE,33/36,3,A16,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A17230089,CANELITO T&F,PRETO,G,1,A17,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A17230097,MEIA INVISIBLE,MESCLA CLARO,33/36,3,A17,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A17230097,MEIA INVISIBLE,MESCLA CLARO,37/40,1,A17,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A17410015,ELÁSTICO TUBINHO,PRETO/MARROM/MESCLA,U,3,A17,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A17500008,CUECA BOXER REDTECH,PRETO,G,2,A17,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A17500008,CUECA BOXER REDTECH,PRETO,GG,1,A17,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A17500008,CUECA BOXER REDTECH,AZUL NOTURNO,P,1,A17,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A17500008,CUECA BOXER REDTECH,AZUL NOTURNO,M,1,A17,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A18000013,TOALHA BEACH,INDIGO/OFF WHITE,U,2,A18,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A18270042,TENIS ESSENTIAL F T&F,PRETO,34,1,A18,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A18270042,TENIS ESSENTIAL F T&F,PRETO,39,1,A18,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A18270042,TENIS ESSENTIAL F T&F,AZUL NOTURNO,39,2,A18,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A18270042,TENIS ESSENTIAL F T&F,CRISTAL I19,38,1,A18,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A18270044,TENIS ESSENTIAL M T&F,PRETO,40,1,A18,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A18270044,TENIS ESSENTIAL M T&F,PRETO,41,1,A18,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A18270044,TENIS ESSENTIAL M T&F,PRETO,42,1,A18,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A18270044,TENIS ESSENTIAL M T&F,AZUL NOTURNO,39,4,A18,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A18270044,TENIS ESSENTIAL M T&F,AZUL NOTURNO,40,3,A18,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A18270108,TENIS 1988 M T&F,MESCLA MEDIO/BRANCO,41,1,A18,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A18440067,SAIA FRANZIDA T&F,PRETO,P,4,A18,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A18440067,SAIA FRANZIDA T&F,PRETO,M,1,A18,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A18500011,CUECA SLIP COOLC,MESCLA CLARO,P,2,A18,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A18500011,CUECA SLIP COOLC,MESCLA CLARO,G,8,A18,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A18500012,CUECA BOXER COOLC T&F,MESCLA CLARO,G,1,A18,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19000058,CINTO BOLSOS,PRETO,P,2,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19000058,CINTO BOLSOS,PRETO,M,1,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19190034,BONE RECORTE,GRANITO,UNICO,2,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19190036,BONE MESH BS,ROSE I19,UNICO,9,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19210023,GARRAFA STEEL,DEGRADE AZUL,U,1,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19210026,GARRAFA STEEL MAX,ROSE I19,UNICO,1,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19230098,MEIA BIKE,PRETO/BRANCO,33/38,3,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19230098,MEIA BIKE,PRETO/BRANCO,39/44,2,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19300028,VISEIRA LIGHT,CORAL V20,UNICO,2,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19370039,PORTA SMARTPHONE SLIM,PRETO,U,8,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19430019,MEIA LUVA BIKE,PRETO,M,1,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19430021,MANGUITO SEAMLESS,PRETO,P/M,7,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19430021,MANGUITO SEAMLESS,PRETO,G/GG,8,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19430021,MANGUITO SEAMLESS,NEON LIMA,P/M,7,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19430021,MANGUITO SEAMLESS,NEON LIMA,G/GG,7,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19570017,CHINELO BEACH FEM T&F,MADEIRA/OFF WHITE,35/36,2,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19570020,CHINELO M SURF T&F,BRANCO,37/38,4,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19570020,CHINELO M SURF T&F,BRANCO,39/40,3,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19570020,CHINELO M SURF T&F,BRANCO,41/42,1,A19,ACESSORIOS
