Codigo Filial,Filial,Produto,Desc Produto,Desc Cor Produto,Grade,Estoque atual,Colecao,Categoria Produto
801508,SHOPPING GOIABEIRAS,A10000010,LUVA NEOPRENE,PRETO/CHUMBO,P,1,A10,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A11370005,PORTA MP3 BASIC,PRETO,U,1,A11,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A12500001,CUECA SLIP PIMA T&F,BRANCO,P,6,A12,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A12500001,CUECA SLIP PIMA T&F,BRANCO,M,7,A12,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A12500001,CUECA SLIP PIMA T&F,BRANCO,G,6,A12,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A12500001,CUECA SLIP PIMA T&F,BRANCO,GG,6,A12,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A12500001,CUECA SLIP PIMA T&F,PRETO,P,2,A12,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A12500001,CUECA SLIP PIMA T&F,PRETO,M,6,A12,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A12500001,CUECA SLIP PIMA T&F,PRETO,GG,3,A12,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A12500002,CUECA BOXER PIMA T&F,BRANCO,P,3,A12,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A12500002,CUECA BOXER PIMA T&F,BRANCO,G,4,A12,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A12500002,CUECA BOXER PIMA T&F,PRETO,M,1,A12,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A12500002,CUECA BOXER PIMA T&F,PRETO,G,1,A12,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A12500002,CUECA BOXER PIMA T&F,MESCLA,GG,3,A12,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A13190010,BONE REFLETIVO BS,BRANCO,U,5,A13,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A13230014,POLAINA T&F,MESCLA,U,2,A13,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A13300007,VISEIRA BASIC,PRETO,U,1,A13,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A13360004,FIVELA TIC TAC METAL,TARTARUGA,U,6,A13,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A13410005,FAIXA REGULAGEM BS,NUDE I17,U,1,A13,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A15270026,TENIS ON F CLOUD,GELO/CINZA PRATA/000009.4304,39,1,A15,MARCAS
801508,SHOPPING GOIABEIRAS,A15370034,PORTA SMARTPHONE PLUS,PRETO,U,9,A15,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A15570008,CHINELO FEM T&F,CEU V15,33/34,1,A15,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A15570008,CHINELO FEM T&F,SURF V15,33/34,1,A15,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A15620007,PROTETOR AURICULAR,UNICA,UN,2,A15,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A16230076,MEIA NO SHOW T&F,BRANCO,33/38,3,A16,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A16230076,MEIA NO SHOW T&F,BRANCO,39/44,2,A16,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A16230076,MEIA NO SHOW T&F,PRETO,33/38,1,A16,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A16230081,MEIA REDTECH,PRETO,33/36,3,A16,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A16230081,MEIA REDTECH,PRETO,37/40,3,A16,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A16230081,MEIA REDTECH,PRETO,41/44,3,A16,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A16230081,MEIA REDTECH,OFF WHITE,33/36,5,A16,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A16230081,MEIA REDTECH,OFF WHITE,37/40,1,A16,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A16300008,VISEIRA TRANSLUCIDA T&F,AZUL NOTURNO,U,2,A16,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A16360008,PIRANHA PEQUENA,TARTARUGA V16,U,1,A16,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A16570009,CHINELO FEM T&F,SHIBORI V16 (CANCELADO),33/34,1,A16,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A16570014,CHINELO FEM T&F,DEGRADÊ MIRTILO/CHERRY V1,33/34,1,A16,ACESSORIOS
801508,SHOPPING GOIABEIRAS,A17190022,BONE MESH BS,AZUL NOTURNO,U,2,A17,ACESSORIOS
