Codigo Filial,Filial,Produto,Desc Produto,Desc Cor Produto,Grade,Estoque atual,Colecao,Categoria Produto
801510,AEROPORTO GRU DOMESTICO,A10000010,LUVA NEOPRENE,PRETO/CHUMBO,M,1,A10,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A12500001,CUECA SLIP PIMA T&F,BRANCO,M,1,A12,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A12500001,CUECA SLIP PIMA T&F,PRETO,M,1,A12,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A12500001,CUECA SLIP PIMA T&F,PRETO,G,3,A12,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A13190010,BONE REFLETIVO BS,BRANCO,U,2,A13,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A13190010,BONE REFLETIVO BS,PRETO,U,1,A13,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A13360004,FIVELA TIC TAC METAL,TARTARUGA,U,2,A13,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A15620007,PROTETOR AURICULAR,UNICA,UN,2,A15,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A16230076,MEIA NO SHOW T&F,BRANCO,33/38,1,A16,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A16230076,MEIA NO SHOW T&F,BRANCO,39/44,1,A16,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A16230081,MEIA REDTECH,OFF WHITE,33/36,7,A16,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A16230086,MEIA PERFORMER,BRANCO/CINZA MESCLA,33/38,3,A16,LINHA BASICA
801510,AEROPORTO GRU DOMESTICO,A16230086,MEIA PERFORMER,PRETO/CINZA MESCLA,39/44,1,A16,LINHA BASICA
801510,AEROPORTO GRU DOMESTICO,A16300008,VISEIRA TRANSLUCIDA T&F,AZUL NOTURNO,U,1,A16,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A17190024,BONE DOBRAVEL BS,PRETO,U,1,A17,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A17210022,GARRAFA DE HIDRACAO,PRETO,U,3,A17,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A17230089,CANELITO T&F,PRETO,P,3,A17,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A17230089,CANELITO T&F,PRETO,M,1,A17,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A17230089,CANELITO T&F,PRETO,G,1,A17,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A17230094,MEIA PILATES T&TF,PRETO,38/41,2,A17,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A17230097,MEIA INVISIBLE,BRANCO,37/40,10,A17,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A17230097,MEIA INVISIBLE,PRETO,33/36,6,A17,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A17230097,MEIA INVISIBLE,PRETO,37/40,3,A17,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A17270042,TENIS ESSENTIAL F T&F,OFF WHITE V17,34,3,A17,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A17270042,TENIS ESSENTIAL F T&F,OFF WHITE V17,36,3,A17,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A17270042,TENIS ESSENTIAL F T&F,OFF WHITE V17,38,1,A17,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A17270042,TENIS ESSENTIAL F T&F,OFF WHITE V17,39,1,A17,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A17410015,ELÁSTICO TUBINHO,PRETO/MARROM/MESCLA,U,12,A17,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A17440064,POCHETE NEOPRENE 1 BOLSO,PRETO,U,8,A17,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A18210024,GARRAFA TWIST KIDS,CLUB,U,1,A18,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A18220011,MALA SPORTS T&F,PRETO,U,2,A18,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A18230099,MEIA SOFT NEW T&F,PRETO/GRANITO,39/44,1,A18,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A18230099,MEIA SOFT NEW T&F,BRANCO/SILVER,33/38,1,A18,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A18270042,TENIS ESSENTIAL F T&F,PRETO,36,2,A18,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A18270042,TENIS ESSENTIAL F T&F,PRETO,37,1,A18,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A18270042,TENIS ESSENTIAL F T&F,PRETO,39,3,A18,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A18270042,TENIS ESSENTIAL F T&F,AZUL NOTURNO,35,1,A18,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A18270042,TENIS ESSENTIAL F T&F,AZUL NOTURNO,37,3,A18,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A18270042,TENIS ESSENTIAL F T&F,NUDE,34,1,A18,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A18270042,TENIS ESSENTIAL F T&F,CRISTAL I19,34,2,A18,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A18270042,TENIS ESSENTIAL F T&F,CRISTAL I19,35,1,A18,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A18270042,TENIS ESSENTIAL F T&F,CRISTAL I19,36,4,A18,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A18270042,TENIS ESSENTIAL F T&F,CRISTAL I19,37,1,A18,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A18270042,TENIS ESSENTIAL F T&F,CRISTAL I19,38,3,A18,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A18270042,TENIS ESSENTIAL F T&F,CRISTAL I19,39,2,A18,ACESSORIOS
801510,AEROPORTO GRU DOMESTICO,A18270044,TENIS ESSENTIAL M T&F,PRETO,40,2,A18,ACESSORIOS
